timestamp,open,high,low,close,volume
2025-03-30 21:00:00,82514.1,82648.9,82100.0,82238.1,17.4391063
2025-03-30 22:00:00,82238.1,82672.8,81588.7,82391.8,80.43282741
2025-03-30 23:00:00,82391.8,82418.3,81931.1,82325.4,24.83059771
2025-03-31 00:00:00,82325.4,82398.9,81270.3,81586.1,98.76929565
2025-03-31 01:00:00,81587.0,82248.8,81549.1,81983.0,39.31573225
2025-03-31 02:00:00,81983.0,82117.0,81666.1,81913.1,37.39866065
2025-03-31 03:00:00,81913.2,82021.2,81500.0,81508.6,17.33594035
2025-03-31 04:00:00,81508.6,81850.0,81426.2,81850.0,20.30828882
2025-03-31 05:00:00,81850.0,82250.0,81841.8,82124.0,17.7442762
2025-03-31 06:00:00,82124.0,82249.9,81914.7,81999.9,25.01387769
2025-03-31 07:00:00,82000.0,82250.0,81754.5,81837.8,19.67713152
2025-03-31 08:00:00,81894.9,82198.6,81894.9,81901.2,23.4261029
2025-03-31 09:00:00,81901.2,81917.6,81310.3,81456.7,48.87079393
2025-03-31 10:00:00,81456.1,82195.0,81320.2,82148.3,38.87588912
2025-03-31 11:00:00,82148.3,82235.0,81932.4,82169.6,14.0844753
2025-03-31 12:00:00,82169.6,83163.5,81926.1,82800.9,128.18164282
2025-03-31 13:00:00,82800.9,82842.1,81656.9,82445.9,85.99585125
2025-03-31 14:00:00,82467.6,83710.0,82467.6,83469.7,204.73682163
2025-03-31 15:00:00,83494.9,83870.8,83399.9,83400.0,109.10780097
2025-03-31 16:00:00,83400.0,83688.4,83287.9,83289.1,86.63600555
2025-03-31 17:00:00,83289.2,83501.9,82592.4,82679.5,132.40283539
2025-03-31 18:00:00,82679.5,83509.3,82679.4,83303.7,112.498882
2025-03-31 19:00:00,83286.1,83422.1,82368.9,82394.4,240.58009373
2025-03-31 20:00:00,82394.5,82798.7,82358.5,82427.7,93.07096244
2025-03-31 21:00:00,82427.7,82698.9,82427.7,82543.4,30.86508482
2025-03-31 22:00:00,82543.7,82553.4,82259.3,82381.1,41.88808519
2025-03-31 23:00:00,82386.0,82809.1,82305.5,82523.0,27.90214316
2025-04-01 00:00:00,82523.0,82755.7,82415.9,82637.9,11.18921823
2025-04-01 01:00:00,82630.7,82710.8,82495.0,82688.9,11.28245508
2025-04-01 02:00:00,82688.9,83049.6,82672.4,83030.0,21.88982319
2025-04-01 03:00:00,83030.0,83198.9,82923.5,82935.0,63.82944727
2025-04-01 04:00:00,82937.3,83199.0,82929.0,83078.0,13.59108387
2025-04-01 05:00:00,83078.0,83250.0,82989.5,82991.4,4.41188669
2025-04-01 06:00:00,82991.4,83466.1,82929.0,83466.1,27.77801267
2025-04-01 07:00:00,83466.1,83589.3,83396.2,83475.0,23.90927973
2025-04-01 08:00:00,83475.1,84160.8,83443.6,84110.2,141.68647423
2025-04-01 09:00:00,84110.3,84375.5,84110.3,84356.8,30.77847234
2025-04-01 10:00:00,84356.9,84470.0,84173.3,84176.2,51.62989326
2025-04-01 11:00:00,84176.2,84186.0,83860.7,83907.1,107.34507149
2025-04-01 12:00:00,83907.1,84100.0,83651.0,83651.1,11.64564854
